ID,Datum_ontvangst,Product,Omschrijving,Antwoord_bedrijf
2234392,2024-12-03,Bankrekening,"ON XX/XX/2016 I had a deposit of XXXX into my account and on the same day I had XXXX different companies authorize XXXX different transactions in the amount of XXXX and XXXX both of which were approved. Then on XX/XX/2016, while those XXXX transactions where still pending I used my debit card for XXXX other transactions XXXX for XXXX and another for gas in the amount of XXXX, at the close of business on XX/XX/XXXX those XXXX transactions where both still pending and my bank which is Bank of America preceeded to charge me an verdraft fee for both the first XXXX and the XXXX, stating that at the time those items posted that my account was overdrawn, at which time it was not, I had the funds to cover the items.When I called and spoke to Bank of America, they stated that at the time those items came into my account it was overdrawn, which in fact it was NOT. The representative proceeded to show me on another screen where it showed it was overdrawn. I noticed that on that screen Bank of America re-layered the transaction showing the XXXX pending transactions as still pending but coming in first and the rest of the transactions after and that is how they are getting away with charging me the fees. How can a bank charge overdraft fees on transactions that were already approved and had not overdrafted my account. So the XXXX transactions that they charged me fees on where autherized first on XXXX/XXXX/2016 and posted on XXXX/XXXX/2016, but they are saying at the time they posted to my account it was negative, however the item that they said made it negative was a transactions that was done on XXXX/XXXX/2016 and is still pending and will not post to my account until the close of business on XXXX/XXXX/2016.",Closed with monetary relief
2447005,2025-04-21,Bankrekening,"Chase Bank accepted a {$3500.00} check for deposit which was made payable jointly to myself, my wife, and  XXXX   XXXX   XXXX   ,   XXXX  ( ""  XXXX  '' ) as non-alternative payees, with an unambiguous "" & '' symbol on the payee line.  XXXX  forged endorsements for myself and my wife and deposited the check without authorization from myself or my wife, in violation of California law including Californ ia Commercial Code Section 3110 ( d ).  Our insurance company wrote a letter to  XXXX   XXXX   XXXX   ( t he payor bank ) stating that I was entitled to {$1400.00} of the check amount.  XXXX   XXXX   XXXX  made a claim with Chase Ban k ( th e deposit bank ). On  XXXX   XXXX ,   XXXX  , Chase Bank improperly denied the claim on the basis of a purported and unlawful power of attorney. Chase Bank 's denial of the claim was an unlawful, unfair, or fraudulent business practice within the meaning of California Business & Professions Code Section  17200,  because in so doing, Chase Bank assisted  XXXX  in stealing my {$1400.00}. Under Californi a Probate Code   Section 4121, a p ower of attorney is legally sufficient only if it is acknowledged before a notary public or signed by at lea st 2 witne sses. The purported power of attorney which Chase Bank honored was not so notarized or witnessed. As such, under Califo rnia Commercial Code Section 3403, the  endorsements were ineffective. Chase Bank violated Califor nia Commercial Code Section 3404 ( d  ) by failing to exercise ordinary care in paying or taking the check with the forged endorsements and refusing to honor the claim. We have been trying to persuade  XXXX  to return the money for years, but  XXXX  refuses.  XXXX  has admitted that it signed our names despite promising to hold the check while we were resolving billing issues with  XXXX . There is no dispute of fact that  XXXX  signed our names.",Closed with explanation
2124501,2024-09-21,Bankrekening,I tried to open an account with Bank of America and without giving a reason the bank refused to open an account.,Closed with explanation
1851449,2024-03-27,Bankrekening,"On XXXX my account was gotten into on USAA by phone number XXXX at XXXX. At XXXX and at XXXX XXXX attempted to get into the phone automated system. They were able to change my information with only a SSN and birthdate. ( ( When I call I have to provide a pin ). Transactions were made from XXXX XXXX and another in XXXX for on that same night ( they used my debit card for both ). The pin, security questions and password were changed and a new phone number of XXXX ( appears to be texting service out of XXXX was added as my primary number. My account then had a mobile app established on this number which appears to be an Android XXXX XXXX phone. None of these numbers are attached to me or my family nor do any of us have any XXXX smart phones. ( we have all XXXX ) Here is where the NIGHMARE really begins I called USAA fraud department to make them aware that the XXXX number is allowing notifications and it 's not mine. They appear to not be able to remove this device from my profile. The have put in a ticket to try to solve it but it will be sometime next week. So someone has access to my balances and accounts until then even with added security in place. They also can not tell me that after the two week lock out on my account if someone will be able to call in and do this again. I have opened a new checking and savings but am stuck at this moment because I have no way to access my money and the payroll check can not be changed for this reporting period. 

USAA has temporarily refunded the XXXX transaction on my debit card pending their investigation the charge for XXXX XXXX is still pending. Currently there are XXXX others here in our Military XXXX that are having similar situations with USAA. We do n't personally know them and my adult son who no longer lives with us had his account hit 3 days after mine in XXXX XXXX. 

Currently I want answers and USAA can not give me any. I was told by Fraud Department on Thursday to stop stressing and to have a good weekend. 
I have reported to police department and have fraud alerts on all of my credit reports. I noticed all of this on the XXXX and USAA tells me that 'd those other phone numbers have not tried to access anything since the XXXX. Right now not sure I trust them and my information is floating around on an unknown device. 

After speaking with someone who works In computer securities for a large Corporation they feel as if USAA has had a data breech. As I write this I have involved many authorities and this seems to be a huge problem with USAA and I 'm just one of many having this issue in the last 3 weeks. Speaking with about XXXX people here their debit cards have been compromised with USAA since XXXX.",Closed with explanation
2419713,2025-04-04,Bankrekening,"I have been deprived of my income as Bank of America continues disappearing my direct deposit payments. In addition to their incapacity to secure people 's money 's, they are massively in mature as they trivialize their failures sending me an email saying : We got your back Fraud protection is back '' They are all very damaged organization full of arrogance and the belief that they are above the law. 
This is the fourth time I file a complaint against Bank of America and nothing happens to them. Had I done one inch of what they have done, I would have lost my license. How come they have more rights than the rest of the Americans? I I was supposed to receive moneys from XXXX {$290.00} on XX/XX/2017 and there is nothing in my account. 
Whe is the Federal government act as as a protector of the citizens who work for a living rather than the arrogant corporations destroying the citizens?",Closed with explanation
2039479,2024-08-01,Bankrekening,"RE : Case ID # XXXX My name is XXXX XXXX, and I have had an account with Ebay and Paypal in excellent standing since early XXXX. On XXXX/XXXX/XXXX I received an email from Paypal stating the following : Hello XXXX XXXX, We have recently reviewed your PayPal account activity, and determined that you are in violation of PayPal 's Acceptable Use Policy regarding your sales / offers of jerseys on eBay, user ID : XXXX. 

As a result, your account has been permanently limited and this can not be appealed. 
So they suspended my account with {$10000.00}. They added in their email the funds will be frozen for 6 months. 
My Ebay account is still active and with 99 % excellent feedback, no open complaints, no chargeback 's, no returns. I still do not understand why Paypal chooses to close my account while Ebay chooses to keep it active. This is very incongruent. 
I have pleaded with XXXX different customer Service Reps to please review my case, since I have no problems with Ebay or vise versa. I keep getting copy and paste standard replies. 
I kept my funds from sales on Ebay with Paypal because Ebay automatically withdraws their monthly invoice fees from there. I also retrieve money from "" My Wallet '' to pay for replenishing my goods and other business expenses, as well as living expenses. 
If I do not have access to my funds for 1 month I will have no way to take care of Payables and Expenses. 
If they want to suspend my account, I can live with that decision, however I can not support myself if they take and freeze my funds for 6 months for no proven reason. 
Please Help!",Closed with non-monetary relief
2056193,2024-08-10,Bankrekening,"As the XXXX XXXX XXXX, I reached out to eTrade to set up a business bank account, along with an initial deposit and IRS EIN. I received a letter saying that the account was approved and open, along with instructions for accessing the account. When I tried to do so on XX/XX/XXXX, however, I received errors from their Web site. Upon calling in, I was told that eTrade has chosen not to do business with my team ( my existing personal accounts were not affected ), no explanation would be given, and that I would have my money refunded within 7-10 days. Today, on XX/XX/XXXX, I received a call saying that I would have to submit a letter from my XXXX and proof of identity in order to get my initial deposit back, despite that deposit being transferred from my personal eTrade account. 

It is bad enough to opt to close my account days after it was initially opened. It is worse to opt not to provide any explanation. But it is ( or should be ) downright criminal to then hold my funds for well over a month while waiting to supply me with instructions on how to receive my money. 

I am in the process of supplying eTrade with the requested documentation, but I 've been given no ETA on the refund of my initial deposit. I will be looking at alternatives for my personal and business banking and trading needs and suggest others do the same.",Closed
2233905,2024-12-02,Bankrekening,"Some years ago ( approximately 2010 ) I opened what I considered to be a Line of Credit with variable rate through Citibank. Citibank, according to my monthly statements, terms this as a "" Variable Rate Equity Source Account ''. Total amount that I requested was for {$140000.00} of which I used {$100000.00} or so. What I do not understand is that no matter that the interest rate varies, and I have made two payments totaling {$2000.00} strictly towards principal my principal balance hardly decreases. Even when I paid down the principal the bank still went ahead and based their following month 's interest accrual on the total prior to the principal payment. The interest rate never varies in total ; each month at least for this year it is averaging at 5.30 %. So my total monthly payment which includes principal and interest never changes much from approximately {$450.00} give or take a few dollars. 
I have gone into the bank to ask why this is, and the rep. told me that while the interest rate is variable it 's still based on prime + spread. I find this to be very deceiving as I do not understand why I have to be charged extra ( spread ). 
It is exceedingly difficult for me to understand if I entered into a contract understanding that I will be charged a variable rate that I am in reality paying what amounts to be a fixed rate. Again as I mentioned above my average monthly statement is for {$450.00} give or take a few dollars. This is not right in my opinion. 
Also I have to complain about Citibank 's procedure for paying down on my principal. I feel they make it very difficult for a customer to do so as I was told that I needed to mail a check stating it 's for principal with the excuse that only the particular department it goes to can handle the transaction. I was told that it was impossible to even make an online payment towards principal. I can not understand why in the internet age this is not possible ... or to have a bank clerk process the transaction! What I feel is Citibank knows a snail mailed check will most likely not reach them in time for the principal balance to be decreased thereby allowing them legal right to charge interest based on a higher principal balance. It is, to me, basically ripping off customers.",Closed with non-monetary relief
2217550,2024-11-21,Bankrekening,"( Sorry to be so late in reporting -- I 've been hoping to resolve the issue with the bank directly. An Umpqua Bank representative told me last week that there 's nothing more that I can do with them, so I 'm writing to you guys. ) Summary : My checkbook was stolen from my car. Fraudsters cashed {$800.00} in bad checks at my home branch bank. Bank says I 'm responsible for that money because it was "" negligent '' to leave my checkbook in the car. I say it was negligent for them to cash those checks without calling me, or even bothering to check the ( wildly different ) signature on the check against my real signature. 

Detail : Late in the evening of XX/XX/XXXX I was looking at my online banking and noticed two large checks I did n't write ( {$500.00} and {$310.00} ) had been cashed against my account that day. ( I never write checks. My checks still have my address from two houses ago. ) I called Umpqua, but they do n't have a line to report check fraud late at night. So, I stayed up all night to be able to report the lost check first thing in the morning. 

Good thing I did, too because the thieves tried to pass another {$400.00} check that morning. ( Having heard from me, the bank denied that one. ) I immediately filed a police report, closed my account, did all the things you 're supposed to do. 

After this all went down, everyone at the bank assured me I 'd be reimbursed. They just needed to let the process ploy out with the fraud investigation unit. 

Several weeks later, an justifiably embarrassed teller from my home branch called to tell me that the fraud unit had denied my claim because I 'd been "" negligent '' in leaving my checkbook in the car. They expected me to eat the {$810.00} loss. 

I would like to point out at this juncture that, had I walked into my home branch with a personal check made out to me for {$800.00}, the bank would not have cashed it that day. They would have put a hold of -- at minimum -- 3 days on that check. It 's understandable that they should do this -- if the check turns out to be hinky and I jet off to XXXX never to be seen again, they 're on the hook for {$800.00}. 

HOWEVER, if XXXX XXXX walks in with {$800.00} worth of handwritten checks against my account, apparently Umpqua Bank is only too happy to release those funds, no questions asked -- no signature check, no phone call, nothing. 

The only difference between the two situations is that, in the first, it 's the bank that assumes the risk. In the second, I do. In short, Umpqua seems to be taking better care of their money than their depositors ' money, which is not a good look for a bank, in my opinion. 

I have no doubt that the low-level grunts at my home branch who cashed the checks followed all of Umpqua 's rules. And I 'm sure that not calling the accountholder, or even taking a minute to go look up the correct signature on an accountholder 's check, saves them labor costs. But if you 're going to cut those corners, you need to take responsibility when things go wrong. 

Umpqua should refund the {$810.00}.",Closed with explanation
1307295,2023-03-30,Bankrekening,I have been banking with Wells Fargo since 1993. I am currently applying for XXXX and I am unable to work. My checking account was fine until I was told false information about the date in which fees were to be applied to my account. They applied the fees a week early and my account has been charged NSF fees like crazy. I can not catch up with my account because they have put the same checks through 4 times and now the NSF fees are so piled up I ca n't get my account current! They apply checks before a cash deposit! They do anything they can and always have to collect their XXXX dollar NSF fees!,Closed with monetary relief
