ID,Omschrijving,Product
2103132,"My soon to be XXXX XXXX XXXX mother has been trying to submit her application to Ocwen for seven months. She has resubmitted information five times. Each time she is scheduled for a phone interview Ocwen representatives tell her she has not complied with some part of their paperwork process. Her information has been reviewed prior to sending, and is correct, yet each time, the representatives say that they are not saying she didn n't send it, just that they did not receive it. Her initial application was XXXX of 2016. She has been told that she now has to redo the complete application because she is outside of the 90 day time frame. Ocwen is stating they reviewed the case on the XXXX day and that she is missing the same information she already provided. They are stating she must start over. She began the process due to illness and being off work. She is behind on her mortgage, but has not stopped paying.",Hypotheek
2219412,"Visio Financial was a present lender who has been payoff by XXXX XXXX see attached complaint number against XXXX XXXX Visio Financial has not assist my new lender in getting Visio Financial lien off my property. The XXXX XXXX '' still has a paid lien on by property, so this does n't allow me to sell my property without paying them twice. Visio Financial assisted I speak with XXXX loan Servicer ( see attached complaint made against XXXX ) XXXX has put late fee on my account that never happened, XXXX, owe me XXXX on the closing of Visio Financial balance due was XXXX + XXXX ( in escrow ) payoff showed XXXX approximate I the borrower ask Visio Financial to confirm and correct XXXX payoff balance, it was refused, Visio Financial said "" see CLEAR SPRING ''",Hypotheek
2029181,"Citi has a deceptive practice for notifying customers of past due balances. This practice maximizes fees, while leaving the cardholder with little regulatory recourse. I rarely use the credit card, and had not looked at the account recently. Without my knowledge, a charge of {$29.00} had been made to the account. After the account was 62 days past due, I received an autodial collection call to my cellphone ( which I did not consent to ) alerting me to a potential problem. The total fee accumulation was {$62.00} ( coincidently ). 

So now I have {$62.00} in fees, and possible negative credit bureau reporting over a {$29.00} charge that I did not make. If Citi was concerned enough to make a collection call after all the fees had been assessed ( day 62 ), they could have been fair and made an attempt prior to day 60, when it looked like payment was n't forthcoming. This would have provided me an opportunity to dispute the charge in writing ( per Reg Z ), and avoid the second late fee. The practice is unfair and unnecessarily drives up revenue, while leaving the cardholder with few options. 

To make matters worse, I called the collections rep ( via the number provided by the autodialer ), and she said that I could n't get help with my credit reporting concern unless I wrote to a P.O. Box. She said there was no number. After the conclusion of that call I tried the regular customer service number, and was placed on hold by the system. After ~35 minutes of being on hold, I hung up without the opportunity to speak to an actual person. 

Bottom line, I feel Citi maximized their fees at the expense of the customer, and failed to provide a reasonable means for exploring a solution.",Creditcard
1299614,"I had payment arrangements to bring my credit card account current. I spoke to several representatives and was given different payment options. All of the correspondence is documented. I was told on XXXX XXXX, 2015 to make a payment of {$110.00} by XXXX XXXX, 2015. I was then told on XXXX XXXX, 2015 via Capital One 's message center to make a payment of {$120.00} by XXXX XXXX, 2015. I had already sent a payment of {$110.00} on XXXX XXXX, 2015, so I planned to sent the difference by XXXX XXXX, 2015. I then noticed that my account was closed on XXXX XXXX, 2015. When I inquired about the closure, I was told that because my account 120 days past due, it was closed. I told them about the correspondence with different representatives and how I was NEVER told that my account was going to be closed even though I made the required payments. I was told my payments would bring the account CURRENT and my card would STILL BE OPEN AND ACTIVE.",Creditcard
1806145,XXXX XXXX XXXX XXXX XXXX # XXXX XXXX VA XXXX Remove fraud alert fro my credit profile,Kredietregistratie
2436298,I filed for bankruptcy in 2016. The lawyers office notified all my creditors and the bank. My bank at the time was Bank of America. The bank allowed XXXX to retrieve the funds from my account during the bankruptcy and left my account in a negative state. The lawyer 's office faxed the bank over documents to show that nothing is to be paid until we go to bankruptcy court. The bank still allowed the transaction to go through and now I 'm left with a balance of over {$900.00} and a mark on my credit report.,Bankrekening
2234801,"I am filing this complaint because Equifax has ignored my request to provided me with the documents that their company has on file that was used to verify the accounts I disputed. Being that they have gone past the 30 day mark and can not verify these accounts, under section 611 ( 5 ) ( A ) of the FCRA -they are required to "" promptly delete all information which can not be verified '' that I have disputed. Please resolve this manner as soon as possible. Thank you",Kredietregistratie
2338414,"I canceled a previously booked room in XXXX XXXX more then 45 days before arrival. 
The company XXXX XXXX XXXX tried to say it was not refundable even thought they advertise full refund if cancelled more then 45 days in advance. 
Citibank originaly credited my account after I filled a dispute with them on the charges. 
Then XXXX XXXX XXXX sent them paperwork telling lies. I sent Citibank supporting documents showing the lies and they contacted XXXX XXXX XXXX. Since they never responded back Citibank closed the case with me not recieving any refund.",Creditcard
1469077,"A recent divorced mother of XXXX was responding to a job listing on the XXXX XXXX. The individual indicated tthat it was an independent contracting position and that my credit card would be required to conclude the employment opportunity. The individual that answered the advertisement indicated that we would have to meet, at the financial institution and that he had a good relationship with the banks in XXXX and XXXX, Georgia. The XXXX XXXX ad provided a XXXX ( XXXX ) XXXX employment line phone number, where there was an automated individual responding to all calls. The individual stated that the company 's name was XXXX. XXXX and they have access to unclaimed government funding, which they need independent contractors to fund these unclaimed monies through their account and send the funds to a corporation. He stated, he would not need any personal information, just the credit card and to meet with the bank lenders. 

As a recent divorced mother and struggling parent, I was excited about the job over the phone and as, what was the next step on the process. He indicated to meet and bring the credit card, therefore, he could meet with the bank officials. Upon, the scammist arrival, he had paperwork to file out and had the company information readily available. He was however, casually dressed, but I said alright perhaps a low grade business casual attire is permittable. However, in the midst of my vulerability, he took the credit cards and the rest was history. All accounts at Wells Fargo of 20 plus years were comprised and closed, but I stated to the bank, that I was the victim of fraud and I was immediately interrogated. Interested, how the tables are turned, but it is imperative that the public is fully aware of scammers taking advantage of hard working citizens and I am fully committed to assisting with the possible incarceration of all individuals that take advantage of any citizen. I am amist and seeking public exposure of the ability to simply post any ad, at random, whether it is the XXXX XXXX and XXXX or the XXXX XXXX. I am seeking restitution and continual public exposure of these prevailing incidents, therefore, no one else is taken advantage of. What should be my next step?",Creditcard
2162495,"I have been banking with SunTrust for over 30 years. My now XXXX husband and I opened an account for my son when he was a minor, with my husband and my name also on the account. My son is now XXXX years old and a college student at XXXX. My son 's student account was hacked and someone obtained his personal data. They used that data to make XXXX mobile deposits into my son 's account, then called his cell phone and told him they mistakenly deposited money into my son 's account and threatened to report him to the police if he did not wire the money to them immediately. My son panicked and went to the nearest SunTrust bank in XXXX, VA and withdrew {$3500.00}, and then went to an ATM to withdraw another {$1500.00}. He then wired the money to this person through XXXX XXXX. The mobile deposits were bogus and later were returned, leaving a negative {$5000.00} balance on my son 's SunTrust bank account. If SunTrust had followed basic security procedures, this fraud could have been prevented. If SunTrust had looked at the endorsements on the back of the bogus deposits, they would have seen that the endorsements did not match my son 's signature. Also, SunTrust should have never allowed my son to withdraw money from funds that had not cleared the bank yet. Since my name was still on my son 's account, SunTrust has demanded that I pay them the {$5000.00} back and have already taken {$1300.00} of that amount out of a Savings Account I had with them.",Bankrekening
