token,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
deposit,1105,46,106,134,89,24
account,5211,886,3578,2480,3814,4291
day,982,550,900,1765,1087,827
different,150,78,188,394,320,182
company,276,522,797,1914,2609,1157
authorize,166,42,104,91,92,230
transaction,748,48,277,194,54,40
approve,75,96,150,516,35,58
pende,113,16,41,80,44,24
debit,470,40,87,69,83,22
card,1187,97,4594,121,575,661
gas,30,4,21,6,14,6
close,715,117,809,796,298,339
business,375,97,322,385,389,204
bank,3864,491,1674,2748,685,377
america,575,13,256,543,79,13
preceede,1,0,0,0,0,0
charge,1218,413,2213,899,896,538
verdraft,1,0,0,0,0,0
fee,1415,344,1156,1233,387,130
state,539,403,678,1948,1659,1015
time,1008,724,1213,3000,1885,1099
item,168,43,168,146,242,772
post,162,60,167,168,106,77
overdraw,97,2,7,8,2,1
fund,865,84,137,639,121,18
cover,139,45,59,173,97,24
call,961,763,1451,2141,3493,667
speak,403,261,487,933,702,305
come,250,165,210,538,362,175
fact,146,71,184,425,238,208
representative,318,116,363,655,395,177
proceed,57,20,57,199,95,31
screen,34,14,28,19,10,32
show,201,156,261,595,425,607
notice,206,140,283,798,759,320
layered,1,0,0,0,0,0
rest,14,14,16,21,15,6
get,370,304,462,1091,653,340
away,84,35,73,184,81,54
overdraft,590,5,17,32,6,4
overdrafte,18,0,0,1,0,0
autherize,1,0,0,0,0,0
say,801,467,1029,1814,1582,666
negative,147,67,98,129,173,330
chase,705,120,657,802,61,14
accept,96,65,119,371,125,74
check,1715,317,551,1132,463,298
payable,9,2,2,21,6,3
jointly,3,1,0,2,3,5
wife,86,51,88,314,186,93
non,42,21,56,201,93,42
alternative,7,3,7,47,7,5
payee,28,2,1,6,14,0
unambiguous,2,0,1,0,0,0
symbol,1,0,0,0,0,0
line,179,77,258,353,186,150
forge,10,5,4,24,19,2
endorsement,11,2,0,27,2,1
authorization,51,19,36,88,55,99
violation,31,36,58,177,367,228
california,29,19,11,114,49,34
law,94,104,105,445,708,487
