,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
deposit,818,22,84,105,75,23
account,5211,883,3577,2474,3811,4289
day,982,553,901,1766,1087,833
different,150,78,188,394,320,182
company,276,522,797,1914,2610,1157
authorize,52,11,38,21,19,86
transaction,748,48,277,194,54,40
amount,433,438,594,1616,1072,310
approved,60,91,126,438,29,44
still,366,311,456,1034,693,605
pending,117,16,45,81,45,25
used,225,76,318,231,269,249
debit,431,24,56,38,75,20
card,1187,97,4594,121,575,661
another,365,159,351,793,485,229
gas,30,4,21,6,14,6
close,248,41,220,358,83,55
business,375,97,322,385,389,204
bank,3835,489,1668,2744,684,376
america,576,13,256,544,79,13
preceeded,1,0,0,0,0,0
charge,716,236,1494,490,639,345
verdraft,1,0,0,0,0,0
fee,1416,344,1156,1234,387,130
first,259,176,392,727,447,252
stating,132,94,193,602,506,271
time,1013,726,1218,3010,1903,1105
item,168,43,168,146,242,772
posted,73,26,100,92,53,39
overdrawn,113,3,6,10,3,0
fund,858,71,137,621,110,17
cover,101,30,33,135,41,12
called,790,449,1121,1440,1714,526
spoke,242,145,280,482,349,186
stated,238,173,328,781,619,303
came,101,68,104,227,154,64
fact,146,71,184,425,238,208
representative,319,117,365,657,396,177
proceeded,28,8,45,61,56,12
show,149,112,168,399,273,425
screen,33,14,28,17,10,31
showed,65,26,66,120,68,70
noticed,83,44,98,82,91,111
layered,1,0,0,0,0,0
showing,81,61,99,256,220,325
coming,29,35,23,81,55,26
rest,14,14,16,21,15,6
getting,113,92,135,411,223,145
away,83,35,73,184,81,54
charging,91,39,123,117,49,22
overdraft,591,5,17,32,6,4
already,138,76,166,412,258,181
overdrafted,18,0,0,1,0,0
charged,414,138,598,292,208,171
autherized,1,0,0,0,0,0
saying,116,88,149,326,285,139
negative,147,67,98,129,173,330
however,247,150,332,583,357,290
said,627,347,793,1327,1196,409
made,548,405,831,1365,706,379
done,188,82,186,495,230,237
post,84,27,51,66,48,32
chase,705,120,657,800,56,12
accepted,37,28,45,160,30,13
check,1337,264,428,998,335,185
payable,9,2,2,21,6,3
jointly,3,1,0,2,3,5
wife,86,51,88,314,186,93
non,42,21,56,201,93,42
alternative,7,3,7,47,7,5
payee,28,2,1,6,14,0
unambiguous,2,0,1,0,0,0
symbol,1,0,0,0,0,0
line,179,77,258,351,185,150
forged,9,5,1,18,9,2
endorsement,11,2,0,27,2,1
deposited,278,24,24,29,15,1
without,339,132,364,512,447,300
authorization,51,19,36,89,55,99
violation,31,36,58,177,367,228
california,29,19,11,114,49,34
law,94,104,105,445,708,487
including,68,40,90,204,196,134
californ,1,0,0,0,0,0
ia,3,1,2,6,3,1
commercial,6,2,6,4,17,14
code,116,4,33,51,75,48
section,18,14,22,101,117,296
insurance,103,170,61,1154,372,103
wrote,42,26,50,86,84,49
letter,392,319,669,1928,1789,1182
payor,3,2,1,1,0,0
entitled,14,4,16,43,20,38
claim,418,85,210,432,582,211
ban,2,0,1,5,1,0
k,5,13,4,36,10,4
th,7,8,6,41,18,11
e,64,25,81,168,100,76
improperly,2,4,4,18,7,12
denied,152,51,156,504,89,138
basis,16,12,21,65,40,15
purported,4,0,2,8,40,3
unlawful,12,1,6,23,40,9
power,28,3,25,58,16,18
attorney,90,61,74,703,442,135
denial,12,10,29,176,5,27
unfair,54,30,80,119,71,35
fraudulent,186,46,210,149,200,386
practice,138,89,179,273,397,118
within,185,76,198,367,263,261
meaning,11,3,7,17,9,11
profession,1,0,0,5,2,0
assisted,11,5,7,19,3,1
stealing,15,4,9,13,4,2
californi,1,0,0,0,0,0
probate,17,2,2,20,2,0
p,14,6,11,61,45,18
ower,1,0,0,2,0,0
legally,13,11,12,60,56,68
sufficient,19,6,9,55,17,19
acknowledged,9,10,21,55,23,10
notary,6,2,1,44,20,3
public,38,10,19,37,49,181
signed,123,90,139,403,258,177
